From,To,length,well,inverse_rho_Ca,Al2O3,Au,CaO,Cr,Cr2O3,Cu,Fe2O3,FeO,GR,IPlin161,IPlin1610,IPlin641,IPlin6410,K,K2O,Litho,MagSusc,Mg,MgO,MnO,N16,N32,N64,N8,Na2O,Ni,P2O5,rho_ND,S,SP,Th,TiO2,U,Vp,Vs,Sc,SPR,caliper,Co,Ba,SiO2
211.81,212.81,1,1,Direct relationship,0.490389,0.0515,1.76662,0.41997,4.08035,2.57625,1.64093,0.675743,8.4511,73.8454,18.2151,138.021,46.2568,0.19127,71.3935,M1CbFu3,0.42917,445.045,0.786709,1.51942,3817.98,5146,7175.1,2286.81,1.16264,1.57649,631.137,2.8685,5.25536,-268.41,0.48968,-0.448808,0.192388,6637.68,3874.21,,1005.26,5.3538,,,
212.81,213.81,1,1,Direct relationship,0.39294,0.046,1.11161,0.369971,3.90146,2.05607,1.42736,0.540224,10.0931,72.981,16.913,137.886,44.9685,0.2231,47.2623,M1Cb3,0.447116,399.344,0.603645,1.20326,3587.6,4744.78,6536.85,2186.66,1.75923,1.17864,343.802,2.8426,9.16496,-230.16,0.896799,-0.540673,0.299176,6536.85,3836.86,,984.862,5.37833,,,
213.81,215.81,2,1,Inverse relationship,0.665632,0.0315,1.63836,0.735677,5.20988,2.76203,2.00999,0.909922,9.58276,71.7598,16.3879,134.291,43.0302,0.24757,67.9462,M1Cb3,0.433189,530.181,1.12773,1.5787,3678.11,4851.36,6344.62,2229.6,2.06818,1.90279,442.317,2.8487,8.04793,-225.96,1.03854,-0.291325,0.276291,6557.84,3824.65,,994.147,5.36742,,,
215.81,217.81,2,1,Inverse relationship,0.32661,0.022,0.972884,0.491397,4.3359,1.84242,1.88326,0.829505,5.4264,71.6443,16.3061,132.929,42.7016,0.10099,21.4075,M1Cb3,0.442186,659.45,1.64554,1.40594,3698.03,4909.97,6524.19,2236.13,0.438207,2.94435,368.431,2.8546,8.04793,-242.625,0.784163,-0.291325,0.194302,6580.04,3917.94,,994.454,5.36544,,,
217.81,219.81,2,1,Direct relationship,0.831459,0.028,1.29483,1.02496,6.24486,2.31616,2.45005,1.18915,6.90706,72.2852,16.6144,134.252,43.8956,0.18149,51.2842,M1Cb3,0.433364,731.136,1.93269,1.83657,3774.91,5080.44,6882.44,2265.1,2.24396,3.24223,430.002,2.873,7.21016,-310.995,0.503056,-0.173212,0.227881,6651,3852.87,,1000.26,5.35825,,,
219.81,221.81,2,1,Inverse relationship,0.509019,0.041,1.02,0.574966,4.63489,2.43808,1.77698,0.762071,3.3865,74.1224,17.9458,136.888,45.7873,0.05909,32.1803,M1Cb3,0.427313,521.367,1.09243,1.31194,3805.97,5180.67,7312.07,2275.4,2.77529,1.88507,322.252,2.8752,19.2322,-310.5,0.287712,-0.379909,0.15323,6664.21,3807.21,,1002.2,5.37052,,,
221.81,223.81,2,1,Direct relationship,0.444531,0.027,1.20322,0.309972,3.6868,2.38118,1.42325,0.537618,1.13098,73.9025,17.6091,137.72,44.8996,0.01388,4.36248,M1Cb3,0.428469,417.625,0.676871,1.09458,3640.45,4856.22,6580.89,2206.12,2.57954,1.17145,401.269,2.8784,27.931,-222.735,0.143342,-0.540673,0.0439587,6670.3,3795.91,,987.316,5.34822,,,
223.81,226.81,3,1,Inverse relationship,0.606672,0.005,1.61481,0.658536,4.93389,2.09323,1.96247,0.879766,1.1859,71.8398,16.4718,132.708,41.7445,0.013,0.72365,M1Cb3,0.474316,591.29,1.37252,1.53043,3510.81,4545.25,5628.49,2152.69,0.91761,2.48212,516.203,2.8324,2.01598,-139.41,0.128017,-0.52755,0.0706749,6490.28,3653.51,,975.174,5.3419,,,
226.81,229.81,3,1,Inverse relationship,0.970753,0.0025,1.99289,1.14195,6.66345,2.51123,2.91827,1.48625,0.956116,70.6112,15.7271,127.748,39.4887,0.01264,                           ,M1Cb3,0.66646,933.502,2.7433,2.38254,3453.92,4496.64,5592.21,2123.29,-0.731535,4.60837,516.203,2.8218,0.407455,-121.6,0.086226,-0.33857,0.0287993,6448.8,                              ,,967.712,5.36318,,,
229.81,230.81,1,1,Direct relationship,1.40411,0.006,1.30857,1.55595,8.14462,0.0533691,3.25835,1.70204,0.674906,71.1761,15.8169,130.555,40.6774,0.01668,                           ,M1Cb3,0.695934,959.826,2.84875,2.20115,3575.34,4712.22,5849.47,2177.7,-0.865767,3.91811,619.643,2.8175,1.81491,-174.3,0.0661566,-0.173212,0.0383628,6441.13,                              ,,979.493,5.33524,,,
